,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
0,1,Garanhuns,Professor Adjunto,Em Exercício,Validada,109.83,40.77,28.35,2.58,38.13
2,3,Petrolina,Professor Adjunto,Em Exercício,Validada,48.84,31.21,15.55,2.08,0.0
3,4,Garanhuns,Professor Assistente,Em Exercício,Validada,70.79,12.3,2.83,3.15,52.51
4,5,ESEF,Professor Adjunto,Em Exercício,Validada,70.02,20.19,2.83,5.49,41.51
5,6,Reitoria,Professor Adjunto,Em Exercício,Validada,257.76,69.29,89.95,20.89,77.63
6,7,Mata Norte,Professor Adjunto,Em Exercício,Validada,70.64,37.38,30.22,1.06,1.98
7,8,ICB,Professor Assistente,Em Exercício,Validada,0.0,18.27,0.0,0.0,0.0
8,9,Garanhuns,Professor Adjunto,Em Exercício,Validada,31.62,20.68,10.94,0.0,0.0
9,10,Mata Norte,Professor Associado,Em Exercício,Validada,275.04,92.48,117.41,12.42,52.73
11,12,FENSG,Professor Associado,Em Exercício,Validada,444.19,198.84,89.3,57.43,98.62
12,13,ESEF,Professor Adjunto,Em Exercício,Validada,130.91,56.06,45.12,13.02,16.71
13,14,Caruaru,Professor Adjunto,Em Exercício,Validada,157.2,66.83,25.64,4.63,60.1
14,15,FOP,Professor Adjunto,Em Exercício,Validada,135.64,63.53,25.87,45.17,1.07
15,16,FCM,Professor Adjunto,Em Exercício,Validada,182.79,102.53,51.99,15.1,13.17
16,17,Arcoverde,Professor Adjunto,Em Exercício,Validada,55.3,38.29,6.92,0.0,10.09
17,18,ESEF,Professor Adjunto,Em Exercício,Validada,53.67,42.51,0.0,0.0,11.16
18,19,POLI,Professor Associado,Em Exercício,Validada,243.81,62.24,80.61,36.68,64.28
19,20,POLI,Professor Adjunto,Em Exercício,Validada,67.76,48.85,16.25,1.59,1.07
20,21,Petrolina,Professor Adjunto,Em Exercício,Validada,222.08,142.01,36.63,3.39,40.05
21,22,Garanhuns,Professor Adjunto,Em Exercício,Validada,32.79,19.06,7.79,3.8,2.14
24,25,Caruaru,Professor Adjunto,Em Exercício,Validada,102.62,17.55,11.11,15.53,58.43
25,26,FCM,Professor Adjunto,Em Exercício,Validada,29.41,27.81,0.53,0.0,1.07
26,27,FOP,Professor Adjunto,Em Exercício,Validada,90.29,37.05,2.4,50.84,0.0
27,28,POLI,Professor Associado,Em Exercício,Validada,100.1,50.66,5.03,0.53,43.88
28,29,Mata Norte,Professor Adjunto,Em Exercício,Validada,51.21,38.78,2.57,0.0,9.86
29,30,POLI,Professor Auxiliar,Em Exercício,Validada,18.07,17.0,0.0,0.0,1.07
30,31,Reitoria,Professor Associado,Em Exercício,Validada,193.61,98.09,93.38,0.0,2.14
31,32,FCAP,Professor Assistente,Em Exercício,Validada,79.93,34.75,3.76,0.0,41.42
32,33,FCM,Professor Assistente,Em Exercício,Validada,128.29,60.15,33.85,0.0,34.29
33,34,FENSG,Professor Assistente,Em Exercício,Validada,67.75,44.18,8.65,2.58,12.34
35,36,ICB,Professor Adjunto,Afastamento Parcial (5 meses),Validada,0.0,10.84,6.39,0.0,3.05
36,37,Mata Norte,Professor Assistente,Em Exercício,Validada,54.11,21.97,15.99,6.58,9.57
37,38,Petrolina,Professor Adjunto,Em Exercício,Validada,247.56,135.63,77.93,12.54,21.46
38,39,Mata Norte,Professor Adjunto,Em Exercício,Validada,78.39,32.97,35.41,3.11,6.9
39,40,Serra Talhada,Professor Assistente,Em Exercício,Validada,76.0,29.7,26.15,3.49,16.66
41,42,FOP,Professor Adjunto,Em Exercício,Validada,46.5,41.94,2.58,0.0,1.98
42,43,Garanhuns,Professor Adjunto,Em Exercício,Validada,165.05,65.07,71.58,6.45,21.95
43,44,Petrolina,Professor Associado,Em Exercício,Validada,255.82,99.88,137.71,0.0,18.23
44,45,Mata Sul,Professor Adjunto,Em Exercício,Validada,49.62,27.09,7.0,5.44,10.09
45,46,ICB,Professor Associado,Em Exercício,Validada,501.84,162.47,112.81,9.83,216.73
46,47,Petrolina,Professor Adjunto,Em Exercício,Validada,46.56,29.76,13.75,0.0,3.05
47,48,FOP,Professor Associado,Em Exercício,Validada,422.94,180.57,83.5,135.95,22.92
48,49,Mata Norte,Professor Adjunto,Em Exercício,Validada,192.03,93.33,35.36,15.52,47.82
49,50,Garanhuns,Professor Auxiliar,Em Exercício,Validada,70.25,46.62,0.0,10.83,12.8
50,51,Petrolina,Professor Adjunto,Em Exercício,Validada,103.61,42.97,6.15,0.0,54.49
52,53,Garanhuns,Professor Adjunto,Em Exercício,Validada,215.65,131.56,54.02,16.93,13.14
53,54,ICB,Professor Assistente,Em Exercício,Validada,109.65,44.43,14.03,7.09,44.1
54,55,Mata Norte,Professor Adjunto,Em Exercício,Validada,202.97,67.53,70.99,40.45,24.0
55,56,ESEF,Professor Adjunto,Em Exercício,Validada,63.51,34.41,19.2,5.39,4.51
56,57,FOP,Professor Associado,Em Exercício,Validada,178.09,57.62,43.07,55.85,21.55
57,58,Mata Norte,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
58,59,ESEF,Professor Adjunto,Em Exercício,Validada,135.33,51.23,34.76,10.47,38.87
59,60,FENSG,Professor Adjunto,Afastamento Parcial (4 meses),Validada,198.84,61.95,53.51,9.89,23.78
60,61,Mata Norte,Professor Adjunto,Em Exercício,Validada,80.97,36.78,32.88,0.53,10.78
62,63,FENSG,Professor Adjunto,Em Exercício,Validada,177.63,84.06,55.02,9.45,29.1
64,65,POLI,Professor Adjunto,Em Exercício,Validada,263.29,50.49,137.11,5.72,69.97
65,66,FENSG,Professor Adjunto,Em Exercício,Validada,130.21,18.14,46.52,17.4,48.15
66,67,POLI,Professor Assistente,Em Exercício,Validada,50.48,38.96,4.67,6.85,0.0
