Docente,Cargo,Nota_RAD,Unidade,Ano
9914c14c29873bdd77e5046a6f9bac6c4517231c193bf05e3ad58e12e26843dc,Professor Assistente,72.08,Garanhuns,2017
60b509fd59e786a3298356b7863907f6eb8b57d15b9f1ec539e96301aa6cc2e6,Professor Adjunto,79.03,Garanhuns,2017
59d14e61c7ce4292d678fa121ba9bb9c48e4f3e6257e5f96859a22d812a24b82,Professor Assistente,150.55,Mata Norte,2017
7bfb55e46c917433dd7f01646d54216128d816a1fa664a969f00542f3d7ace05,Professor Assistente,,ICB,2017
634f93dd8a1ff9b77d7f73df8044e187895c9c83908fb5d9c63daa6c92e3d794,Professor Assistente,15.86,Salgueiro,2017
d2098a191d65b1b081f83412949621d770c38462794554b9f129cd1c1733537e,Professor Assistente,41.51,POLI,2017
adffef6b8819ee41e354f3a889c82a0b2d5de374032ab987a687b37e5f4421b0,Professor Assistente,,FOP,2017
de0a7d3512ed79a7b54e19b0b468af7f49cbffa7a70177bd614d3b0395132f2d,Professor Adjunto,,FCM,2017
8b740ad6ac6e09d43c5b01f77287f241c1cc9a0b76c0bb5accc41833ac1f0a37,Professor Auxiliar,12.1,POLI,2017
7998b2716fab0a2fe881fe27b4b0828c71ba96115a09d4ebb5d46d7245ecb4bf,Professor Assistente,75.81,Garanhuns,2017
eb982d2b777ad8d039420c3a7c6c342756093856e2eaf87b901ac089ba0b5414,Professor Auxiliar,,FCM,2017
a19e2a73ad4e859c5f9dfe935781865c4975dc19a26111212315978bd4dc8bdc,Professor Assistente,,Mata Norte,2017
16d1e180218b55c65973e80706bb75f4a70a8604957c69ab6871d68abb704e4d,Professor Adjunto,150.0,FOP,2017
ea3270fdf3d0e4fbb5f8c946490c844be2b8dbeaf4e43e8c97aad31e79c45a24,Professor Adjunto,167.03,Reitoria,2017
8591ff42dbfe36499ecfeaea8a8f1f4944e57a4de01d1efdc217ba8d663bc328,Professor Assistente,43.53,FENSG,2017
6340d73973c8c7b8dc14bcd7f6f178a2dcf64111acbd65be447297558fb18ebf,Professor Assistente,18.21,POLI,2017
df0469fc55345851b2b9c4c0546234ecac2f8da7838d8921907ae492fdb8e6d1,Professor Auxiliar,,FCM,2017
a20b2a9fbcf6ec0cfdc71ad305851517269224908f64ed58b421279b30185350,Professor Assistente,,Garanhuns,2017
b4f830b5268d98793e2204408f368d6ab871b9fc19a0c513038ad65167ea6c3f,Professor Adjunto,95.14,Garanhuns,2017
ee3fcab65b90dc05d82af59147d9a88cbe01e16e9a3620d38c21bf2253ec8cbc,Professor Adjunto,98.5,FCM,2017
71a5d36edce5da1ae9a89e310c87de20781f76946340cd59fa60d065231c4193,Professor Assistente,23.95,FCM,2017
018ef020ebed2eb9f0f5e6e8244da73b18c62a757963e1bb98e2614e24881c99,Professor Adjunto,140.77,FCM,2017
75442dd722ace42d0a525a90d78f46b327a86ef947de5ce5dad479f209f23c44,Professor Assistente,126.74,Petrolina,2017
5db208cf3d30def189829a10a930aa5a6dec438d9898d354f33a775d34ded547,Professor Adjunto,,Garanhuns,2017
84ee80eaf2ab58f0cdd89b4760c0962cd5a0c1f60b9540ed8ac8694fe2ba1a56,Professor Assistente,,POLI,2017
48417ca8bd79ea4382e9f295b7ac075f35bff8ad14d211722da2b28704b898f8,Professor Adjunto,72.89,FCM,2017
116ef07a7205c52a9058480d888072b57d898e7b95ba14f77a1620d068c94757,Professor Assistente,40.96,Garanhuns,2017
6629ddae3736e894e89cb4a1300a9d2c5c0fad418f8ea06a341b81f2a98bb491,Professor Adjunto,,HUOC,2017
b5e877f3ff35f4938b199c4e0bcd8b937b6fc8dff5a48d72bec41ad51a27629d,Professor Assistente,,FCM,2017
8deefff926e89fed7948ed1159e2ee693a6cdbdf03747e2c50064e30279137d9,Professor Assistente,,POLI,2017
44071dbd9fa9741e6a2191e6ce4cc65c94b72a28653832f9753323d2e36a6075,Professor Assistente,15.35,FCM,2017
3240cceacadfb120a63dae8086a7fe78553541e6d40768e7ca1a88d9c0ca6c21,Professor Adjunto,86.25,Garanhuns,2017
2fb258179847cba8ac20a2ed088db13ca30d6b8b9a241befaffab61dde108eff,Professor Adjunto,149.62,Garanhuns,2017
91f904db9092f86024d80fd2e966dba8d9deb450f4a93cbef1e9acf199e38d81,Professor Adjunto,133.23,ICB,2017
666322ce83d387532446c973f339824e92e3d7cd3237682082b68fd7de39b2a6,Professor Adjunto,,Garanhuns,2017
9e117e6d0fc9a024d81bfd9f35221ae777dd67271b9e6e79f13780d837779b40,Professor Assistente,278.46,ESEF,2017
bd727adbd68d7fbd806b0e827cd0f9072ee21aee7f264c596379c582cc38f0ce,Professor Auxiliar,,ICB,2017
45066375cbd20dfe3101504e4f48502465e992922a2683609bfeedadd59e63f3,Professor Auxiliar,,FENSG,2017
